TransactionID,CustomerID,ProductID,Amount,Quantity,Region
1001,101,5,150.25,2,North
1002,102,12,45.00,1,South
1003,103,5,300.50,4,East
1004,101,22,12.99,3,North
1005,104,7,89.95,1,West
1006,105,12,90.00,2,South
1007,102,5,150.25,2,East
1008,106,22,25.98,2,West
1009,103,7,179.90,2,North
1010,107,15,410.00,1,South
1011,104,5,75.12,1,East
1012,101,12,135.00,3,North
1013,108,22,38.97,3,West
1014,109,15,820.00,2,South
1015,102,7,89.95,1,East
1016,105,5,225.37,3,West
1017,106,12,45.00,1,North
1018,103,22,12.99,1,South
1019,107,7,269.85,3,East
1020,108,15,410.00,1,West
